citation_key,title,authors,year,venue,doi_or_official_url,verification_status,claim_supported,section_used,notes
sugiyama2007covariate,Covariate Shift Adaptation by Importance Weighted Cross Validation,Masashi Sugiyama; Matthias Krauledat; Klaus-Robert Müller,2007,Journal of Machine Learning Research 8:985--1005,https://jmlr.org/papers/v8/sugiyama07a.html,VERIFIED,Ordinary validation assumptions can fail under covariate shift.,Related Work,Official JMLR article page and BibTeX checked; no claim that importance weighting was implemented here.
subbaswamy2019transport,Preventing Failures Due to Dataset Shift: Learning Predictive Models That Transport,Adarsh Subbaswamy; Peter Schulam; Suchi Saria,2019,Proceedings of Machine Learning Research 89:3118--3127,https://proceedings.mlr.press/v89/subbaswamy19a.html,VERIFIED,Predictive mechanisms can fail to transport across shifted environments.,Related Work; Discussion,Official PMLR page and abstract checked; not cited as evidence of causal invariance in this study.
hand2018administrative,Statistical Challenges of Administrative and Transaction Data,David J. Hand,2018,Journal of the Royal Statistical Society: Series A 181(3):555--605,10.1111/rssa.12315,VERIFIED,Selection and data-generation challenges in administrative and transaction records.,Related Work; Discussion,Crossref record and publisher abstract agree.
frenay2014label,Classification in the Presence of Label Noise: A Survey,Benoît Frénay; Michel Verleysen,2014,IEEE Transactions on Neural Networks and Learning Systems 25(5):845--869,10.1109/TNNLS.2013.2292894,VERIFIED,Taxonomy and predictive consequences of noisy labels.,Related Work; Limitations,"Crossref and IEEE/institutional metadata agree; used conceptually, not to assert that CBDB's proxy is random label noise."
jacobs2021measurement,Measurement and Fairness,Abigail Z. Jacobs; Hanna Wallach,2021,"Proceedings of the 2021 ACM Conference on Fairness, Accountability, and Transparency:375--385",10.1145/3442188.3445901,VERIFIED,Latent constructs can diverge from their operational measurements.,Related Work; Data and Measurement Problem,"Crossref and ACM abstract agree; conceptual support only, not direct evidence about CBDB coverage."
gebru2021datasheets,Datasheets for Datasets,Timnit Gebru; Jamie Morgenstern; Briana Vecchione; Jennifer Wortman Vaughan; Hanna Wallach; Hal Daumé III; Kate Crawford,2021,Communications of the ACM 64(12):86--92,10.1145/3458723,VERIFIED,"Dataset documentation should state motivation, composition, collection, and recommended uses.",Related Work; Reproducibility,Crossref and publisher/author-affiliated page agree; author suffix normalized to Hal Daumé III.
lundberg2017shap,A Unified Approach to Interpreting Model Predictions,Scott M. Lundberg; Su-In Lee,2017,Advances in Neural Information Processing Systems 30,https://proceedings.neurips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions,VERIFIED,SHAP as an additive feature-attribution framework.,Related Work; Model Interpretation,Official NeurIPS proceedings page checked; does not support causal interpretation.
kumar2020shap,Problems with Shapley-Value-Based Explanations as Feature Importance Measures,I. Elizabeth Kumar; Suresh Venkatasubramanian; Carlos Scheidegger; Sorelle Friedler,2020,Proceedings of Machine Learning Research 119:5491--5500,https://proceedings.mlr.press/v119/kumar20e.html,VERIFIED,Limits of interpreting Shapley values as context-free importance or causal effects.,Related Work; Model Interpretation; Limitations,"Official PMLR page, abstract, author order, and pages checked."
guo2017calibration,On Calibration of Modern Neural Networks,Chuan Guo; Geoff Pleiss; Yu Sun; Kilian Q. Weinberger,2017,Proceedings of Machine Learning Research 70:1321--1330,https://proceedings.mlr.press/v70/guo17a.html,VERIFIED,Post-hoc probability calibration and expected calibration error reporting.,Related Work; Evaluation Protocol,"Official PMLR page, abstract, authors, and pages checked."
niculescu2005probabilities,Predicting Good Probabilities with Supervised Learning,Alexandru Niculescu-Mizil; Rich Caruana,2005,Proceedings of the 22nd International Conference on Machine Learning:625--632,10.1145/1102351.1102430,VERIFIED,Post-hoc calibration using held-out data.,Related Work; Evaluation Protocol,"Crossref and ACM/conference metadata agree; cited for held-out calibration, not test-label fitting."
